ID,X,Y,Z,Node,SINIT
1,264370.6781,2739705.361,466,1,0.003378013
2,264400.6781,2739705.361,466,2,0.003378031
3,264400.6781,2739735.361,465.6590803,3,0.003378855
4,264370.6781,2739735.361,462.4658544,7,0.00338636
5,262060.6781,2739915.361,461.5753762,8,0.003374181
6,262840.6781,2739825.361,461.4496069,10,0.003377294
7,264430.6781,2739765.361,461.3966936,11,0.003389323
8,264460.6781,2739765.361,460.7490466,12,0.003391728
9,264400.6781,2739765.361,460.4632858,14,0.003391399
10,264340.6781,2739735.361,458.8995537,19,0.00339485
11,263920.6781,2739795.361,457.578625,21,0.003393302
12,263890.6781,2739795.361,457.4236192,22,0.003393624
13,263950.6781,2739795.361,457.1556208,23,0.00339442
14,262870.6781,2739825.361,456.4541682,25,0.003389186
15,264490.6781,2739765.361,456.2505207,27,0.003402967
16,264280.6781,2739765.361,455.7580416,29,0.003401513
17,264430.6781,2739795.361,455.6761361,30,0.003403532
18,262030.6781,2739915.361,455.6291538,31,0.003388246
19,263980.6781,2739795.361,454.8511182,34,0.003400179
20,262090.6781,2739915.361,454.7417715,36,0.003390401
21,264460.6781,2739795.361,454.4141725,39,0.003407152
22,264340.6781,2739765.361,453.9207038,40,0.003406993
23,262000.6781,2739915.361,453.3433047,44,0.003393779
24,264310.6781,2739765.361,452.7071014,46,0.003409548
25,261970.6781,2739915.361,451.9121833,48,0.003397273
26,262840.6781,2739855.361,451.3947909,50,0.003401529
27,264010.6781,2739795.361,450.4552682,52,0.003411258
28,264520.6781,2739765.361,449.4451707,55,0.003420706
29,263890.6781,2739825.361,448.330999,57,0.003416259
30,263860.6781,2739825.361,448.1439049,58,0.003416638
31,263290.6781,2739795.361,447.7490522,59,0.003413198
32,263260.6781,2739795.361,447.159113,61,0.003414673
33,263979.6285,2739830.508,447.1586628,62,0.003419613
34,263937.9734,2739837.391,447.0946499,64,0.003419566
35,264250.6781,2739765.361,446.7620409,65,0.003423939
36,264220.6781,2739765.361,446.4540805,67,0.003424411
37,262810.6781,2739885.361,445.8985703,71,0.00341519
38,264456.5469,2739849.129,445.8847404,72,0.003428977
39,263440.6781,2739765.361,445.685862,74,0.003419106
40,262900.6781,2739825.361,445.5786655,75,0.003416236
41,263350.6781,2739795.361,445.4569003,76,0.003419249
42,264190.6781,2739765.361,445.0760703,78,0.003427752
43,264010.6781,2739825.361,444.0938199,84,0.003427775
44,264160.6781,2739765.361,443.7717227,86,0.003431073
45,264387.9949,2739834.564,443.5124865,87,0.003434465
46,264515.7044,2739808.673,443.3634375,88,0.003436463
47,262930.6781,2739825.361,443.1863947,89,0.003422698
48,263470.6781,2739765.361,443.085722,91,0.003425879
49,263380.6781,2739795.361,443.0253007,92,0.003425692
50,264230.715,2739804.22,442.6188971,94,0.003434525
51,264279.8498,2739797.476,442.2536783,97,0.003436144
52,264040.6781,2739825.361,442.0555316,100,0.003433511
53,262867.836,2739865.857,441.9404559,102,0.003425623
54,262024.5772,2739951.551,441.9394036,103,0.003422468
55,262075.5186,2739953.123,441.3680484,105,0.003423972
56,264550.6781,2739765.361,441.3632614,106,0.003443018
57,262900.6781,2739855.361,440.8490754,111,0.00342856
58,262840.6781,2739885.361,440.8002673,112,0.003428505
59,264070.6781,2739825.361,440.2132777,115,0.003438775
60,262780.6781,2739915.361,440.1606766,116,0.003429882
61,261970.6781,2739945.361,439.4630931,119,0.003428934
62,263860.6781,2739855.361,439.2479076,120,0.003439897
63,262960.6781,2739825.361,438.965646,123,0.003433863
64,263260.6781,2739825.361,438.384593,125,0.003437614
65,264160.6781,2739795.361,438.1013125,127,0.003446224
66,264550.6781,2739735.361,438.0922179,128,0.003452826
67,264100.6781,2739825.361,437.9666408,129,0.003445214
68,263440.6781,2739795.361,437.9148581,131,0.003439569
69,263285.8316,2739836.355,437.8365885,132,0.003439085
70,264184.6435,2739801.662,437.4999094,133,0.003447913
