ID,X,Y,Z,Node,Slice,Z_Darcy
1,258130.6781,2743305.361,164.4891891,1,1,-1.8878E-05
2,258130.6781,2743275.361,160.2759555,2,1,-2.29085E-14
3,258130.6781,2743245.361,159.7398524,3,1,2.01954E-05
4,258130.6781,2743215.361,159.8752249,4,1,-6.65876E-05
5,258130.6781,2743185.361,161.5171284,5,1,8.46263E-15
6,258160.6781,2743185.361,162.0552529,6,1,-8.70369E-06
7,258220.6781,2743185.361,163.635528,7,1,4.79043E-15
8,258250.6781,2743185.361,162.9505927,8,1,-3.06431E-17
9,258250.6781,2743155.361,166.8234192,9,1,6.30677E-15
10,258280.6781,2743155.361,165.1650014,10,1,-2.42525E-14
11,258310.6781,2743155.361,164.7549482,11,1,4.78204E-12
12,258310.6781,2743125.361,165.4400924,12,1,-7.83456E-13
13,258340.6781,2743125.361,168.6677169,13,1,-2.03893E-07
14,258340.6781,2743095.361,164.0284851,14,1,-1.19023E-14
15,258370.6781,2743095.361,166.9804371,15,1,-9.68987E-06
16,258370.6781,2743065.361,160.8911228,16,1,-3.24992E-06
17,258370.6781,2743035.361,157.6854654,17,1,-5.21276E-15
18,258370.6781,2743005.361,160.3213581,18,1,-2.61581E-14
19,258400.6781,2743005.361,159.3937225,19,1,3.40385E-16
20,258400.6781,2742975.361,164.2678,20,1,-8.0162E-05
21,258400.6781,2742945.361,173.9600406,21,1,-4.40519E-13
22,258400.6781,2742915.361,205.7451889,22,1,-1.24602E-15
23,258430.6781,2742915.361,176.4900421,23,1,-6.71044E-15
24,258430.6781,2742885.361,202.7584552,24,1,-7.8529E-14
25,258490.6781,2742885.361,177.513547,25,1,3.04057E-06
26,258520.6781,2742885.361,179.8945183,26,1,-1.37753E-14
27,258520.6781,2742855.361,182.2271476,27,1,-3.02374E-16
28,258550.6781,2742855.361,180.8482885,28,1,-2.68598E-14
29,258550.6781,2742825.361,180.4440368,29,1,5.00317E-05
30,258520.6781,2742825.361,183.171554,30,1,1.68546E-16
31,258520.6781,2742765.361,182.4483668,31,1,6.26539E-14
32,258550.6781,2742765.361,175.0960165,32,1,7.00394E-12
33,258550.6781,2742735.361,171.6848822,33,1,-1.85308E-13
34,258580.6781,2742735.361,168.8734005,34,1,-2.39907E-16
35,258580.6781,2742705.361,167.3749496,35,1,-3.65911E-05
36,258610.6781,2742705.361,171.0991647,36,1,1.54908E-14
37,258610.6781,2742675.361,174.6530226,37,1,1.55609E-15
38,258640.6781,2742675.361,176.7666027,38,1,1.20807E-14
