ID,X,Y,Z,Node,Slice,Z_Darcy
1,266681.8009,2742813.128,126.8147793,488,1,-0.011598013
2,266781.1986,2742955.853,109.8485882,489,1,-2.16703E-08
3,259886.4342,2745604.867,60.0752066,574,1,-0.012262167
4,259817.6203,2745435.126,61.78943582,575,1,-0.008704725
5,259748.8065,2745265.385,68.56933002,576,1,-1.11962E-08
6,260005.8067,2745665.835,60.51303153,633,1,-0.003630107
7,259947.7566,2745486.976,62.30936384,634,1,0.018335387
8,259887.4608,2745321.224,65.80796593,635,1,-0.00041132
9,266543.303,2742799.986,129.2727891,807,1,-0.002796009
10,266637.0703,2742937.83,110.3324523,808,1,-0.000192047
11,260076.7683,2745547.149,61.18283394,890,1,0.016924241
12,260022.1132,2745377.178,64.30660796,891,1,-0.000129019
13,266402.9912,2742783.947,198.4996778,1009,1,0.000383795
14,266496.5972,2742922.739,118.9030038,1010,1,0.000909318
15,266595.2654,2743065.31,115.4165144,1011,1,-0.000788728
16,260209.8956,2745611.571,63.43038708,1090,1,0.023064403
17,260153.8191,2745435.066,61.2980888,1091,1,0.052137071
18,260109.0409,2745277.911,63.61543864,1092,1,0.000573884
19,266355.8296,2742905.958,171.0565556,1193,1,-0.000654511
20,266440.882,2743062.103,119.8266961,1194,1,-0.002519261
21,266558.1919,2743200.809,112.8612737,1195,1,0.000397634
22,260282.9759,2745481.339,61.59097988,1263,1,-0.027577784
23,260236.7162,2745332.263,61.0932607,1264,1,0.001545787
24,266297.946,2743023.975,139.7809536,1334,1,-0.00134158
25,266435.8935,2743212.776,114.6002253,1335,1,-0.001253392
26,266516.1377,2743327.608,109.0785101,1336,1,0.00026736
27,266596.1842,2743451.079,112.2676951,1337,1,-9.65773E-11
28,260339.8008,2745681.467,70.90637546,1403,1,-0.036381637
29,260360.0146,2745370.786,64.24376381,1404,1,-0.011225432
30,266234.3102,2743106.487,154.4281149,1477,1,-3.73956E-10
31,266329.9385,2743143.805,122.1499944,1478,1,-5.3913E-07
32,266337.1358,2743257.451,115.5406033,1479,1,-0.00055931
33,266410.1069,2743322.854,111.4759486,1480,1,0.000386103
34,266455.4139,2743428.221,110.0387771,1481,1,-8.50619E-11
35,260413.0106,2745552.091,66.74888072,1546,1,-0.002218164
36,260441.5232,2745275.173,66.00476435,1547,1,-0.001815143
37,266316.6403,2743374.007,110.8480885,1622,1,-7.66005E-05
38,266523.494,2743552.326,114.0102707,1623,1,-1.46573E-10
39,260487.6301,2745431.152,64.4041123,1685,1,0.004469422
40,266376.1483,2743519.804,110.3706923,1755,1,-1.49211E-10
41,260546.2634,2745605.965,81.24639011,1812,1,-0.022862452
42,260614.8056,2745471.68,71.32765364,1813,1,0.009883045
43,260565.4278,2745323.018,63.17922626,1814,1,0.01093074
44,266236.1105,2743489.429,108.8503051,1880,1,-0.006872399
45,266296.38,2743619.323,107.4596164,1881,1,0.00036721
46,266440.9257,2743646.626,114.0318572,1882,1,-2.66029E-10
47,260688.7069,2745357.888,65.77569589,1930,1,-0.054567384
48,260633.3537,2745223.553,64.30063783,1931,1,0.002790953
49,266127.8758,2743472.064,109.2815353,1991,1,-0.045215901
50,266159.3461,2743582.85,104.6779552,1992,1,-0.000475644
51,260742.9059,2745504.977,71.21583921,2043,1,-0.001273962
52,266025.4013,2743511.468,109.5019814,2106,1,-0.011429182
53,266213.6121,2743711.947,105.5527935,2107,1,7.4999E-09
54,260812.9693,2745387.876,66.79692854,2162,1,-0.038957488
55,260760.5356,2745252.582,67.91585403,2163,1,0.001729526
56,266070.0286,2743664.748,104.3377255,2211,1,-3.64691E-07
57,260884.3343,2745278.847,69.02754356,2255,1,0.021441842
58,260837.4411,2745153.416,67.0891707,2256,1,-0.002463104
59,265934.5838,2743620.514,107.2526078,2311,1,-0.011195161
60,265975.8422,2743751.775,101.892766,2312,1,-0.015360524
61,266118.2593,2743794.466,104.463206,2313,1,5.82141E-09
62,260937.0791,2745406.882,69.52809114,2353,1,-0.045423182
63,260958.1196,2745164.749,64.73012749,2354,1,0.002028997
64,265819.0803,2743580.284,107.3640913,2410,1,-0.001855043
65,265840.4656,2743692.17,104.3415651,2411,1,-0.003660259
66,261008.6222,2745290.793,69.22186218,2457,1,-0.062196355
67,265710.0861,2743613.703,104.5308378,2513,1,0.000606384
68,265880.5719,2743829.565,101.2132427,2514,1,0.000194523
69,261062.5842,2745419.608,74.00272201,2562,1,-0.153024418
70,261076.7764,2745171.498,68.67139621,2563,1,-0.015072621
71,265741.7452,2743761.654,102.3904948,2613,1,1.567E-05
72,261132.3413,2745301.207,72.13684749,2656,1,-0.081692209
73,261148.5953,2745057.062,73.07322729,2657,1,-0.015771401
74,265596.2392,2743684.952,98.49746904,2701,1,-0.004254539
75,265776.5067,2743899.112,102.8475281,2702,1,1.08725E-08
76,261194.5561,2745441.832,78.15577032,2739,1,-0.031437787
77,261202.7731,2745185.825,73.50293031,2740,1,-0.001755427
78,265350.1406,2743547.749,104.1603324,2786,1,-0.031857049
79,265461.8906,2743615.096,96.15949103,2787,1,-0.011446653
80,265477.5217,2743746.083,97.79600044,2788,1,-0.011125142
81,265623.5478,2743821.154,101.6589768,2789,1,-8.96867E-08
82,261259.5022,2745316.869,75.13645604,2829,1,-0.013961508
83,261271.7251,2745063.599,76.64925587,2830,1,-0.001973543
84,265166.7032,2743464.347,126.6798371,2873,1,0.000520798
85,265257.1319,2743545.764,110.3365329,2874,1,0.006618191
86,265327.4817,2743662.821,95.98257679,2875,1,-0.01058238
87,265507.164,2743882.878,101.127046,2876,1,0.000516543
88,265658.3194,2743958.623,104.8152418,2877,1,3.65391E-10
89,261322.8162,2745448.676,77.99740847,2907,1,0.017060219
90,261328.2173,2745192.224,73.59645469,2908,1,-0.00021878
91,265175.1233,2743594.432,108.0183282,2943,1,-0.012953148
92,265367.6104,2743815.34,98.97544413,2944,1,1.49477E-08
93,261385.7038,2745323.279,71.62548335,2978,1,0.000485987
94,261392.1651,2745068.453,74.82918254,2979,1,-1.59905E-08
95,265044.657,2743478.594,119.9604119,3009,1,-0.005318003
96,265212.2261,2743736.198,96.29253393,3010,1,0.001318359
97,261451.9446,2745444.429,72.65411888,3044,1,0.008678206
98,261452.5107,2745207.382,71.90626942,3045,1,-0.009122701
99,264911.5775,2743493.83,107.7817883,3081,1,-0.029009424
100,265042.5544,2743643.497,98.76412567,3082,1,-0.012417833
101,265259.519,2743887.541,95.77930194,3083,1,0.000118531
102,261512.8635,2745329.18,72.23448936,3112,1,0.003422906
103,261576.723,2745219.217,71.70232773,3113,1,-0.038365969
104,261519.4068,2745090.695,73.66931635,3114,1,-0.004270704
105,265109.247,2743815.71,95.96620692,3148,1,0.000217676
106,261702.2194,2745400.156,73.72892087,3179,1,-0.003955885
107,261614.3061,2745324.522,72.5474528,3180,1,0.01584888
108,261687.3192,2745257.78,71.2809011,3181,1,-0.045871403
109,261642.9407,2745113.844,73.1635403,3182,1,-0.016527655
110,264879.3675,2743628.09,99.03900655,3216,1,0.004095445
111,264950.5209,2743764.207,99.42723852,3217,1,0.001959747
112,261764.1744,2745154.077,71.17422298,3247,1,2.02358E-08
113,264744.6615,2743631.885,101.9616149,3273,1,0.005347568
114,264821.7851,2743724.48,97.62507629,3274,1,0.000115509
115,265005.177,2743907.34,96.46464545,3275,1,0.000785199
116,261796.984,2745316.943,70.85021111,3300,1,-0.00650765
117,261836.8846,2745031.914,78.74403714,3301,1,-0.000122728
